id;name;nutriscore;energy;fat_g;sugar_g;sodium_mg;perc_fruit;fibers_g;proteins_g
5010003064744;Seed Sensations;a;1163.152;6.6;3.8;879.9999999999999;70.59;5.3;10
3273227081023;Organic So Soja! Natural;a;192.464;2.1;0;100.0;29.86;0;4.8
5020364010113;Bakery Co. 5 The Original Bagels;a;1079.472;1.2;5.6;770.0;58.47;3.1;10.1
5411188513513;Soya Unsweetened Organic (Red);a;146.44;2.1;0;40.0;72.56;0.6;3.7
10100295;Weetabix;a;1514.608;2;4.2;280.0;78.97;10;12
5411188094159;Devilishly dark chocolate plant-based dessert;b;397.48;2.3;11.8;130.0;62.99;1.4;3.1
20115685;chapelure;b;1493.688;1.6;4.4;1500.0;75.87;5.2;13
7613031300655;Cheerios Multi;b;1581.5520000000001;4.8;17.7;800.0;69.68;9.6;9.9
5000127049307;Crunchy Nut Corn Flakes Cereal;d;1665.232;4.5;35;750.0;57.92;2.5;6
5412514350000;Wraps;d;1389.088;18;1.3;1300.0;79.39;0;9.3
1704877950008;Vegetable balls;c;711.28;8.6;2.5;1600.0;82.18;0;7.7
4056489017479;Olivenöl;c;3447.616;91.6;0;0.0;73.43;0;0
3073781161298;Le Cœur Fleuri Végétal;e;1129.68;22;3;1600.0;74.03;0;1
20118174;Mandeloliven;c;589.9440000000001;13;0;2610.0000000000005;74.24;0;1.2
5000373704289;Dairy Free Spread;d;2108.736;56;0;1500.0;53.9;0;0
5053990162765;Pringles Smokey Bacon Flavour;d;2171.496;29;3;1600.0;74.58;3.6;6.6
20054830;Riz arborio;b;1481.136;0.4;0.2;10.0;49.48;0;6.7
20487942;Sun-dried Tomatoes;e;577.392;0.7;17;6600.000000000001;45.09;6;7
5014213711306;Smooth Peanut Butter;d;2493.664;46;5.9;0.0;68.98;8.5;29.6
5738001776017;;d;2012.5040000000001;22;19;800.0;85.88;5.7;8
8076809521581;BARILLA PICCOLINI PENNE RIGATE 500g;a;1502.056;2;3.5;10.0;70.97;3;12
20293604;Olivenöl;c;3447.616;91.6;0;0.0;71.96;0;0
5010044005126;Crumpets;c;736.384;0.8;2;1480.0;85.59;1.9;6
4056489408178;Artesanas con pipas, Crunchy Breadsticks with Sunflower Seeds;d;2167.312;30;1.4;1930.0000000000002;65.83;4;10.6
4056489517511;Oat unsweetened;b;163.17600000000002;1.1;3.1;109.99999999999999;83.05;0.5;0.3
20809676;Schwäbische Spätzle;b;635.9680000000001;3.4;0.8;1000.0;50.94;0;6.4
5000157026231;Beanz in a rich tomato sauce ORGANIC;a;343.088;0.2;5.4;600.0;64.62;3.8;4.9
5013665100065;Organic Slightly Salted Wholgrain Rice Cakes;a;1648.496;2.7;0.5;300.0;54.2;3.1;8.5
5013803620332;Eat Natural Almond & Apricot Bars;d;1991.584;26.6;31.2;60.0;73.54;4.6;6.6
5411188112778;Almond Unsweetened;b;54.392;1.1;0;130.0;87.82;0.4;0.4
5411188114666;Almond dark chocolate drink;b;196.648;1.3;6.9;140.0;76.48;0.8;0.8
5411188128021;;d;146.44;0.8;4.9;140.0;100.0;1.3;1.5
4056489067719;Vegan spread French style;a;569.024;9;0.5;1100.0;60.88;0;8.5
4056489067726;Vegan spread mexican style;b;736.384;13;0.7;1300.0;93.42;2.3;7
5000108022824;Νιφάδες Βρώμης Ολικής Άλεσης;a;1564.816;8;1.1;0.0;73.22;9;11
51000005;Cheese Onion Flavour Potato Crisps;c;2150.576;29;2.6;1200.0;63.22;3.8;6.3
7394376123337;The Original Organic Oat Drink;b;154.808;0.5;4.1;100.0;57.36;0.8;1
5034467000216;Tofoo Naked;a;514.6320000000001;6.9;0.7;100.0;63.01;0.9;12.6
7311311020636;tortillas;b;1171.52;5.5;2.4;1200.0;55.72;5.2;8
5018357012497;Simply nutty muesli;a;1573.184;6.8;14.2;30.0;82.25;8.6;9.9
20199876;Sun-dried Tomatoes;c;681.9920000000001;11.9;6.4;2720.0;60.97;23;3
3524130003177;Olives aux Herbes;c;1158.968;28;0.5;3700.0;74.27;3.8;1.3
5019503018974;Mince;a;439.32;2;0.6;300.0;67.26;5.5;14.5
50160884;Vegan Bouillon powder;e;1025.08;8.5;10.5;44600.0;70.37;0;10.1
5050083563133;All-Bran Golden Crunch;c;1702.8880000000001;11;21;830.0000000000001;57.93;13;7.6
5060042640744;Lightly Sea Salted;b;2096.184;24.4;2;500.0;90.71;5.3;5.9
7394376665035;Oatly drink whole fridge version;b;238.488;2.8;4.1;100.0;72.66;0.8;1
20622701;Medaglioni Basilic,Ricotta & Pignons de pain;c;1012.528;8;3.1;1100.0;92.65;0;7.8
5019503034165;Totally Vegan Smoky Ham Free Slices;a;422.584;2.5;0.3;1700.0000000000002;64.19;8.5;13.5
5034467000223;Smoked Tofu;a;615.048;7.6;0.533;307.5;72.56;0.667;15.2
5060120281975;Organic Oat Drink;b;217.568;1.8;4.3;90.0;55.81;0.5;1.6
