product_name;nutriscore_score;nutriscore_grade;energy;sugar_g;fat_g;sodium_mg;proteins_g;fibers_g;perc_fruit;assessment_pi_1;assessment_pi_2;assessment_pi_3;assessment_pi_4;Pes_classification_50;Pes_classification_60;Pes_classification_70;Opt_classification_50;Opt_classification_60;Opt_classification_70
The original - Petits crackers sans cuisson Pomme & Datte;-3;a;1351.0;15.38;1.62;0.0;8.76;6.92;52.0;1.0;0.875;0.625;0.25;b;b;c;b;b;c
Cucurucho Crema Americana & Chocolate;15;d;1041.0;25.0;8.6;0.1375;4.2;1.1;0.0;0.75;0.3125;0.3125;0.25;d;d;d;d;d;d
;2;b;990.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.625;0.625;0.5625;a;b;e;a;b;e
Gezouten Pinda’s;8;c;2565.0;5.5;8.0;0.68;25.0;0.0;96.0;0.875;0.5625;0.5625;0.25;b;d;d;b;d;d
Galleta Cracker con Oliva y Oregano;16;d;1757.0;3.7;7.4;1.7;11.1;3.2;0.1;0.875;0.25;0.0625;0.0;d;d;d;d;d;d
p’tit nature complet NUTRI+;1;b;1750.0;20.0;0.8;0.45;7.6;7.6;0.0;0.875;0.875;0.625;0.375;b;b;c;b;b;c
Crunchy Bites Raspberry Dark Choc;9;c;1803.0;17.0;5.2;0.43;9.8;8.1;0.0;0.875;0.875;0.375;0.125;c;c;c;c;c;c
Chocolat Blanc;27;e;2227.0;63.0;18.0;0.36;4.8;0.001;0.0;0.4375;0.3125;0.25;0.0;e;e;e;e;e;e
Rocher aux Amandes;19;e;2248.0;39.0;12.0;0.15;12.0;5.2;29.0;0.5625;0.5625;0.25;0.25;c;e;e;c;e;e
no:1 Hazelnut;23;e;2171.0;40.2;9.8;0.5;9.7;3.6;20.9892045454545;0.8125;0.4375;0.25;0.0;d;d;d;d;d;d
Cake au beurre fourré;23;e;1547.0;31.0;10.9;0.9;4.5;0.6;1.875;0.5;0.3125;0.0;0.0;e;e;e;d;e;e
Harrys brioche tranchée bio sans additifs 400g;0;b;1421.0;9.0;1.1;0.98;9.0;5.6;0.0519531249999972;0.875;0.875;0.3125;0.0;c;c;c;c;c;c
Coeur de boule - Coco Funkytella;7;c;1943.4;39.0;8.8999996185303;0.25;8.6999998092651;8.6999998092651;94.95;0.9375;0.6875;0.5;0.25;c;c;d;b;c;d
Kouign amann pur beurre;22;e;2065.0;27.0;20.0;0.675;3.9;1.0;0.0;0.5;0.3125;0.25;0.0;e;e;e;d;e;e
Génoises Orange;17;d;1610.0;52.0;6.0;0.15;3.0;2.0;11.0;0.6875;0.5625;0.25;0.25;c;d;e;c;d;e
Chocolat au lait du Pays Alpin;25;e;2210.0;59.0;18.0;0.0;6.1;1.8;0.390625;0.4375;0.3125;0.25;0.25;e;e;e;e;e;e
Soßenkuchen;3;c;1507.0;29.0;0.2;0.05;7.9;2.9;0.0;0.75;0.6875;0.5;0.5;c;c;d;a;c;d
Soufflé à la cacahuète;19;e;2039.0;1.8;7.4;1.43;10.5;0.0;19.0;0.75;0.25;0.0625;0.0625;d;d;d;d;d;d
Chips allégées;1;b;1972.0;0.7;2.0;1.0;6.9;5.2;4.6875;0.875;0.75;0.3125;0.0625;c;c;c;c;c;c
